Event_date_dt,Event ID,Event Date,Source Name,Source Sectors,Source Country,Event Text,CAMEO_code,Intensity,Target Name,Target Sectors,Target Country,Story ID,Sentence Number,Publisher,City,District,Province,Country,Latitude,Longitude,Event_date_dt,CAMEO_case,case_clean,points
2013-06-13,20112089,2013-06-13,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27208110,4,Thai News Service,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-13,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-13,20112145,2013-06-13,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27208988,2,Daily Telegraph,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-13,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-14,20114647,2013-06-14,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27199394,6,Agence France-Presse,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-14,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-15,20117782,2013-06-15,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27195947,6,Agence France-Presse,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-15,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-15,20118965,2013-06-15,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Police,Government",Turkey,27202353,5,The Economist,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-15,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-16,20120622,2013-06-16,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Government,Police",Turkey,27193840,4,FARS News Agency,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-16,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-16,20120623,2013-06-16,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Government,Police",Turkey,27193840,6,FARS News Agency,Taksim,,Istanbul,Turkey,41.0371,28.9866,2013-06-16,Protest violently,Protest violently  riot  not specified below,POINT (28.9866 41.0371)
2013-06-16,20120946,2013-06-16,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Government,Police",Turkey,27194368,2,Agence France-Presse,Gezi Park,,Istanbul,Turkey,41.0385,28.9869,2013-06-16,Protest violently,Protest violently  riot  not specified below,POINT (28.9869 41.0385)
2013-06-16,20121126,2013-06-16,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Government,Police",Turkey,27194790,5,BBC Monitoring Newsfile,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-16,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
2013-06-17,20123187,2013-06-17,Protester (Turkey),"Protestors / Popular Opposition / Mobs,Dissident",Turkey,"Protest violently, riot",145,-7.5,Police (Turkey),"Government,Police",Turkey,27192652,1,AAP Bulletins,Taksim Square,,Istanbul,Turkey,41.0369,28.9858,2013-06-17,Protest violently,Protest violently  riot  not specified below,POINT (28.9858 41.0369)
